country,good1,good2,good3,good4,good5,good6,good7,good8,good9,good10,good11,good12,good13,good14,good15,good16,good17,good18,good19,good20,good21,good22,good23,good24,good25,good26,good27,good28,good29,good30,good31,good32,good33,good34,good35,good36,good37,good38,good39,good40,good41,good42,good43,good44,good45,good46,good47,good48,good49,good50
1,0.16198921,-0.31530163,0.45164952,0.64673512,0.092288876,0.43821983,0.11882675,0.62204251,-0.077793659,-0.18857526,0.47701674,-0.19421437,0.37571562,0.2877346,-0.25043072,0.11399081,1.5836252,0.60946373,-0.055395377,0.028740664,0.19573674,-0.08031361,-0.052119371,0.29700465,-0.53049812,0.12774619,0.2795522,0.05919233,0.10843524,0.10843524,0.10843524,0.1848287,-1.3500405,0.26417638,0.12637913,0.33157879,0.29642778,0.56414853,0.13523176,0.61241296,0.23392604,0.18997672,0.31642274,0.20589555,0.29122094,0.057728201,0.68579948,0.49940396,-0.13920508,-0.19893804
2,0.5678578,0.040883827,0.6269064,0.77868478,0.042084836,0.45071901,0.32153112,0.89391066,0.26110692,0.29118295,0.23611375,0.23287911,0.65030624,0.58743597,0.50716519,-0.13632345,1.6227046,0.33708185,0.021632241,-0.005186118,0.41532188,-0.052513427,0.049657912,0.40635668,-0.32769588,0.072660064,0.61253575,0.63953367,0.28943491,0.28943491,0.074753332,0.05409532,-1.6392537,0.14423142,0.38108021,0.2673227,0.40117345,0.50409469,0.35151399,0.43420478,0.33559132,0.44650915,0.75801601,0.71539178,0.54382716,0.27324609,0.6172289,-0.008042543,0.40657901,-0.30005277
3,0.51513442,-0.10086141,0.40754962,0.6741168,-0.09625592,0.73995564,0.10122994,0.48004552,0.15516617,-0.17039275,0.089643458,0.19032371,0.60205109,0.35870563,0.23785133,0.10386904,1.9478206,0.42176432,0.41169611,0.10261441,0.64209972,0.10655223,0.06985277,0.12518576,-0.25331781,0.50666939,0.41259852,0.24986402,0.39607642,0.39607642,0.44278747,0.24274055,-1.2023984,0.33709465,0.25939324,0.07429053,0.28484629,0.54052134,0.21738962,0.56149792,0.63244811,0.3879045,0.98437878,0.60970269,0.31891438,0.33260592,0.67554805,0.48050213,0.089331948,-0.15406544
4,0.41721902,0.24815757,0.24949626,0.19237719,0.049494236,0.51057336,0.283041,0.52692528,-0.086842207,-0.14169001,0.19166873,-0.30811485,0.37209858,0.25881723,0.42846773,-0.18205876,1.7645867,0.32049381,-0.01460865,-0.060050767,0.003518735,0.22512132,-0.33056116,0.066505582,-0.56966169,0.048676909,0.27067508,0.39317664,0.27655169,0.27655169,0.2085349,0.18098106,-0.93789242,0.3577956,-0.12501478,0.42902686,0.2888456,0.41381958,0.19943438,0.456592,0.2594797,0.24681709,0.24748755,0.14895503,0.035507994,0.28948848,0.65205861,0.038816517,0.27459665,0.2421112
5,0.64915918,-0.020223104,0.62749595,0.63275422,0.2775996,1.1878646,0.74353812,0.85631724,0.61237696,0.052987595,0.82479122,0.6113059,0.7338131,0.4580204,0.49850794,0.11363764,2.0076273,0.6197607,0.73585303,0.061594734,0.48718637,0.000336074,0.13867744,0.35880136,-0.40695302,0.20518111,0.72472879,0.52500619,0.63742299,0.63742299,0.66412717,0.31808548,-1.3140438,0.96085802,0.12415837,-0.017282153,0.67848909,0.65981732,0.37688808,0.89212248,0.63170478,0.67787228,0.82983905,0.82632154,0.36851633,0.53118762,0.78741193,0.21085663,0.22320624,-0.39786618
6,0.79652916,0.15266811,0.75408156,0.9230488,0.15458566,1.1517244,0.72322224,0.71158293,0.41014818,0.1645402,0.78220049,0.6141852,0.74986511,0.63940555,0.80611675,-0.04759983,1.9535562,0.61472277,0.52525335,0.26700929,0.32645832,0.019654515,0.33057245,0.25109486,-0.39155177,0.011091772,0.84464165,0.84922173,0.89806249,0.89806249,0.8910549,0.37166574,-0.94658418,0.7936124,0.43874942,0.70399322,0.96971687,0.72695202,0.64019171,1.1624255,0.72153326,0.75688269,1.1628915,0.70436179,1.1561906,0.58776035,0.74492335,0.29125177,0.51104772,-0.47986699
7,0.57850521,-0.000171362,0.52779852,0.75108484,-0.024678102,0.30783705,0.20893675,0.59761376,0.28755394,-0.00676403,0.21425368,0.19395414,0.5586289,0.43890321,0.52001718,0.033828174,2.02438,0.57335381,0.50978928,0.17454164,0.72110827,0.047275707,0.095406023,0.60745673,-0.08738712,0.21648396,0.57772934,-0.025032586,0.18292803,0.18292803,0.26618869,0.19779182,-1.3610269,0.54629043,0.27081496,0.23865354,0.024255508,0.66269308,0.07732751,0.61262325,0.56375813,0.53227599,1.1642431,0.92229085,0.50791838,0.51134571,0.69280288,0.43510602,0.080044252,0.21131887
8,0.25541709,-0.14913311,0.29181742,0.59058085,-0.22461376,0.61547304,0.13183926,0.49084189,0.24483498,0.021344464,0.14367981,0.14878447,0.4404048,0.22474554,0.37923325,-0.048723098,1.8245096,0.57174666,0.66923773,0.13957724,0.35051921,0.22851379,-0.061207655,0.55492823,-0.52021667,0.38246296,0.52880991,-0.00978874,0.13648923,0.13648923,0.18331379,0.1203808,-1.1295052,0.31277889,0.039683087,0.18822057,0.37801941,0.55357046,0.21906639,0.61770554,0.46631202,0.43773864,0.94305714,0.78186377,0.23273618,0.32095625,0.601001,0.37761447,-0.10814652,-0.098972143
9,0.46673398,0.2219864,0.50245828,0.98047997,0.034479008,0.49044794,-0.22005923,0.42108847,-0.23962344,-0.42987912,0.77170112,0.11758328,0.81179343,0.30951648,0.50028551,-0.05869596,1.9049026,0.3810511,-0.19503953,0.17089474,0.48861543,0.027522458,0.14122504,0.53834808,-0.017087971,0.16988617,0.75778495,-0.12827783,0.27469153,0.27469153,0.47346046,-0.075320384,-1.5640424,0.16127198,0.64045725,0.18192242,0.31651258,0.31345781,0.20994097,0.13026174,0.21670428,0.1923366,0.94416194,0.001592897,0.22914463,-0.020744283,0.26372751,0.23388847,-0.27205871,-0.58894381
10,0.16557489,-0.15780106,0.45342339,0.76782955,-0.10494505,0.42352504,0.044707875,0.95512111,-0.075708226,0.2846886,0.19574111,0.22062278,0.52377995,0.27160096,0.40745003,-0.020481998,2.0822429,0.67065836,0.59038126,0.32295413,0.49785345,0.097390136,0.23003018,0.59645767,-0.074014746,0.14267827,0.5754687,0.37666203,0.35320854,0.35320854,0.29993816,0.16424244,-1.623525,0.85271203,0.037166361,0.30632054,0.35431169,0.30110163,0.38471577,0.57723471,0.50830485,0.45192452,1.0394334,0.79124982,0.3647313,0.33201422,0.59168646,0.35044535,0.29234245,-0.19529373
11,0.81562114,-0.13303833,0.44498048,0.87229768,1.0660815,1.1064073,0.49502132,0.72748742,-0.077895345,0.2784679,0.046488374,0.080575667,0.034375404,0.16680766,0.46943537,0.25640413,1.9680241,0.78543667,0.39332492,0.003039955,-0.091228876,0.39308171,0.30813793,0.47065156,-0.83731219,-0.18633379,0.1253714,-0.33280016,-0.28394777,-0.28394777,-0.29096129,0.55949943,-1.0290687,0.44879289,0.25567882,0.27038843,0.49058746,0.5353195,0.19495583,0.99860675,0.41578372,0.48964709,1.0717443,0.49962366,0.011411797,0.22265642,0.51446898,-0.35270132,0.47200115,-0.52703517
12,0.30374128,-0.22424273,0.34434836,0.53040893,-0.19918521,0.85554238,0.19265107,0.73346838,0.17010025,-0.074096714,0.29951132,0.25700197,0.33211466,0.39919099,0.61905047,0.14162857,1.8178306,0.43851902,0.54889711,0.067659441,0.30833547,-0.093317204,-0.018557129,0.52857182,-0.43493967,-0.070742882,0.56202379,0.055929101,0.20246553,0.20246553,0.24892764,0.19863655,-1.3922197,0.17665765,-0.053591701,-0.39402129,0.5702883,0.70304779,0.11880695,0.47829419,0.32274603,0.28005545,0.70407686,0.4120139,0.40197748,0.29758268,0.64802201,0.57087601,-0.045397172,-0.3947926
13,0.46348282,0.47534799,0.46534606,0.70018565,0.095716594,0.12596565,0.027146971,0.68625331,-0.093525405,-0.47677811,0.27344789,-0.14907666,0.15634122,0.22065786,-0.62695706,0.18335637,1.7245767,0.69487277,-0.25344355,-0.092874576,0.039761817,-0.003318186,-0.24280515,0.13998093,-0.70903662,0.087058531,0.41808116,-0.19340329,-0.1442706,-0.1442706,-0.15183338,-0.070994681,-1.254595,0.369291,0.22682047,0.15023743,-0.066548818,0.65809949,0.39077976,0.35940624,0.26711303,0.12072455,-0.22482714,-0.018906031,0.38796795,0.19317963,0.11492743,-0.030452802,0.42508236,-0.79451576
14,0.55893358,0.058899373,0.46190232,0.84005796,0.16931004,1.2692599,0.77046407,0.60538978,0.56714682,-0.22488462,0.74537019,0.6659947,0.77124485,0.58071602,0.99623146,-0.025577182,1.8255623,0.54435155,0.44316641,0.19564417,0.96632699,0.34219603,-0.044646567,0.32881277,-0.30693062,0.20218343,0.70503045,1.100566,1.0033449,1.0033449,0.94556418,0.068831084,-0.91209366,0.74391288,0.44375725,0.5278356,0.53890632,0.60530603,0.26355984,0.97845397,0.55189005,0.72112345,0.72127263,0.70449965,1.0241662,0.39462739,0.68967551,0.17705201,0.34056017,-0.17412942
15,0.18920196,-0.1276105,0.55011001,0.50402701,-0.27598282,-0.66740406,-0.20911588,0.40563207,-0.25348418,-0.63866693,0.64349761,0.037616398,0.20407539,0.32859593,0.25617168,0.074803493,1.7945633,0.51067616,0.24632301,-0.000397349,0.46507459,0.099747394,0.022636813,0.30983886,-0.39706163,0.35204866,0.56626682,0.45520208,0.49184579,0.49184579,0.47371285,-0.061568249,-1.7123173,0.1059848,-0.40515147,-0.062872476,0.045702302,0.29920285,0.14475427,-0.25165372,0.35537629,0.16060991,0.82511619,0.19723906,0.14567949,-0.016374747,0.16135925,0.16440847,-0.28162016,-0.5837638
16,0.6125575,0.13177813,0.57705081,0.80843689,-0.00000266667,0.034831286,0.25544913,0.46051111,0.027597981,-0.10412017,0.42942672,0.34059219,0.53642524,0.48607904,0.43366787,-0.15508662,2.1245799,0.43608333,0.34059219,0.12191774,0.38154689,-0.18269743,0.3399284,0.5564097,-0.25947931,0.34983928,0.57074496,0.52490248,0.67145578,0.67145578,0.71801913,0.099369807,-1.5134522,0.63257819,0.2733515,0.17498485,0.43124656,0.32318881,0.25689317,0.42455757,0.75771219,0.40421789,1.1688455,0.52600562,0.66476039,-0.14317527,0.23427272,0.12439196,0.10778029,-0.32442098
17,0.51423299,-0.054308361,0.57879592,0.82438792,-0.072577682,1.374145,0.66100512,0.65525506,0.17994565,0.094854531,0.26877414,0.5081605,0.51968631,0.43543451,0.52433703,0.042567989,1.7557877,0.28093159,0.28056161,0.1981931,-0.09530997,0.13331521,0.046472719,0.29428227,-0.31903749,0.042880929,0.73367867,0.38071555,0.38127337,0.38127337,0.37444664,0.014638532,-0.97189303,0.81943475,0.24502965,0.42235408,0.69442032,0.5719988,0.28964811,0.83287312,0.35092683,0.31808719,0.65355755,0.69824566,1.0935319,0.29269932,0.50884795,0.15158379,0.36745991,-0.28198805
18,0.20169964,-0.41129604,0.45959304,0.50133264,-0.39832569,0.44749833,0.26074218,1.0654307,0.51383281,-0.008445309,0.28965352,0.12377633,0.15834025,0.091139396,0.30507799,0.13593453,1.9068334,0.59435319,-0.004960985,0.062291242,0.4114584,0.14943811,0.15834025,0.55141976,-0.26350646,-0.11128815,0.54541974,0.37407087,0.49923401,0.49923401,0.53432533,0.013988763,-1.3757244,-0.018971722,-0.37036961,-0.11516413,0.045897432,0.45191335,0.2446128,0.29996289,0.099007257,0.10057343,0.60763611,0.59339762,0.51693359,-0.060381779,0.33523103,-0.12296144,-0.17724612,-0.27483161
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
