import_country,export_country,unknown1,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,density,labor,wage,common_language,both_in_EU,both_in_EFTA,distance,edu_year
1,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.72
1,2,90,-6.502,-7.41,0,0,0,0,0,1,0,-0.321,-0.017,3.723,-0.795,0.136,0,0,0,9.891,8.57
1,3,90,-5.968,-10.074,0,0,0,0,0,1,0,0.545,0.07,4.977,-0.67,0.406,0,0,0,10.389,9.35
1,4,90,-5.105,-5.826,0,0,0,0,0,1,0,1.232,0.135,0.181,0.489,0.359,1,0,0,10.009,9.98
1,5,90,-6.587,-8.206,0,0,0,0,0,1,0,-0.541,-0.233,3.987,-1.043,0.272,0,0,0,9.968,6.91
1,6,90,-6.079,-6.461,0,0,0,0,0,1,0,-0.504,0.217,1.898,-1.153,0.511,0,0,0,9.453,10.83
1,7,90,-4.886,-5.176,0,0,0,0,0,1,0,2.54,0.09,3.845,1.163,0.41,0,0,0,10.517,9.54
1,8,90,-3.86,-3.918,0,0,0,0,0,1,0,2.958,0.169,4.741,1.331,0.459,0,0,0,9.987,10.33
1,9,90,-8.021,-9.092,0,0,0,0,0,1,0,-2.901,-0.037,3.543,-0.742,-0.424,0,0,0,9.45,8.4
1,10,90,-4.652,-4.528,0,0,0,0,0,1,0,1.629,0.046,4.459,1.057,0.19,0,0,0,10.073,9.13
1,11,90,-2.804,-2.04,0,0,0,0,1,0,0,3.351,0.083,5.009,2.265,0.24,0,0,0,4.924,9.47
1,12,90,-5.709,-8.801,0,0,0,0,0,1,0,1.159,0.083,5.103,-0.264,0.396,0,0,0,10.334,9.47
1,13,90,-4.299,-4.96,0,0,1,0,0,0,0,-2.208,0.061,1.73,-1.674,-0.245,1,0,0,1.443,9.27
1,14,90,-7.021,-8.137,0,0,0,0,0,1,0,-0.433,0.058,1.776,-1.324,0.483,0,0,0,9.927,9.24
1,15,90,-7.999,-8.985,0,0,0,0,0,1,0,-2.565,-0.291,3.879,-0.605,-0.991,0,0,0,11.221,6.52
1,16,90,-6.657,-6.688,0,0,0,0,0,1,0,-0.045,0.107,3.549,0.556,-0.083,0,0,0,10.924,9.7
1,17,90,-5.162,-5.886,0,0,0,0,0,1,0,0.86,0.1,2.149,-0.602,0.446,0,0,0,9.699,9.64
1,18,90,-3.657,-4.04,0,0,0,0,0,1,0,2.79,-0.026,4.66,1.25,0.18,1,0,0,10.769,8.5
1,19,90,-2.61,-2.179,0,0,0,0,0,1,0,4.74,0.327,2.49,2.717,0.491,1,0,0,9.389,12.09
2,1,90,-8.85,-7.942,0,0,0,0,0,1,0,0.321,0.017,-3.723,0.795,-0.136,0,0,0,9.891,8.72
2,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8.57
2,3,90,-3.885,-7.083,0,1,0,0,0,0,0,0.867,0.087,1.253,0.125,0.269,0,0,0,0.57,9.35
2,4,90,-5.919,-5.732,0,0,0,0,1,0,0,1.553,0.152,-3.542,1.285,0.223,0,0,0,4.091,9.98
2,5,90,-5.401,-6.113,0,1,0,0,0,0,0,-0.219,-0.215,0.264,-0.247,0.136,0,0,0,0.545,6.91
2,6,90,-5.314,-4.788,0,0,1,0,0,0,0,-0.182,0.234,-1.825,-0.358,0.375,0,0,1,0.894,10.83
2,7,90,-3.484,-2.866,0,1,0,0,0,0,0,2.861,0.107,0.122,1.958,0.274,0,0,0,0.645,9.54
2,8,90,-1.108,-0.258,1,0,0,0,0,0,1,3.279,0.187,1.017,2.126,0.323,1,0,0,0.326,10.33
2,9,90,-6.265,-6.428,0,0,1,0,0,0,0,-2.58,-0.02,-0.18,0.053,-0.56,0,0,0,0.795,8.4
2,10,90,-2.751,-1.721,0,1,0,0,0,0,1,1.95,0.063,0.736,1.853,0.054,0,0,0,0.475,9.13
2,11,90,-3.607,-1.935,0,0,0,0,1,0,0,3.672,0.1,1.286,3.061,0.104,0,0,0,5.687,9.47
2,12,90,-4.028,-6.212,0,1,0,0,0,0,0,1.48,0.1,1.379,0.531,0.259,0,0,0,0.583,9.47
2,13,90,-9.309,-9.063,0,0,0,0,0,1,0,-1.887,0.079,-1.994,-0.878,-0.381,0,0,0,11.276,9.27
2,14,90,-5.989,-6.198,0,0,1,0,0,0,0,-0.112,0.075,-1.948,-0.529,0.347,0,0,1,0.842,9.24
2,15,90,-5.576,-5.654,0,0,1,0,0,0,0,-2.244,-0.273,0.156,0.19,-1.127,0,0,0,1.429,6.52
2,16,90,-5.123,-4.246,0,0,1,0,0,0,0,0.276,0.124,-0.174,1.351,-0.219,0,0,0,1.126,9.7
2,17,90,-4.388,-4.205,0,0,1,0,0,0,0,1.181,0.118,-1.574,0.194,0.31,0,0,1,0.775,9.64
2,18,90,-3.91,-3.385,0,0,1,0,0,0,0,3.111,-0.008,0.937,2.046,0.044,0,0,0,0.769,8.5
